model_id,dataset,retriever,cond,n,hits_hard,hhr,f1
Llama-3.1-8B,DB100K,onehop,E1,100,0.18,0.36,0.3234304584304586
Llama-3.1-8B,DB100K,onehop,E2,100,0.22,0.44,0.33036507936507936
Llama-3.1-8B,DB100K,onehop,E3,100,0.2,0.40816326530612246,0.32022771672771677
Llama-3.1-8B,DB100K,onehop,E4,100,0.17,0.3541666666666667,0.32503724053724065
Llama-3.1-8B,DB100K,onehop,E5,100,0.63,0.875,0.5852251082251081
Llama-3.1-8B,DB100K,onehop,E6,100,0.96,0.9896907216494846,0.7101649344807239
Llama-3.1-8B,DB100K,onehop,E7,100,0.24,0.4528301886792453,0.34409379509379506
Llama-3.1-8B,DB100K,tog,E0,100,0.68,0.7640449438202247,0.6748852801787583
Llama-3.1-8B,DB100K,tog,E1,100,0.13,0.21311475409836064,0.3599408357343141
Llama-3.1-8B,DB100K,tog,E2,100,0.19,0.31666666666666665,0.3614531232364333
Llama-3.1-8B,DB100K,tog,E3,100,0.17,0.288135593220339,0.3678838591671692
Llama-3.1-8B,DB100K,tog,E4,100,0.13,0.22033898305084745,0.36155366734714567
Llama-3.1-8B,DB100K,tog,E5,100,0.67,0.7701149425287356,0.6649547572233611
Llama-3.1-8B,DB100K,tog,E6,100,0.87,0.8969072164948454,0.7282114721027763
Llama-3.1-8B,DB100K,tog,E7,100,0.21,0.3442622950819672,0.3612252189896503
Llama-3.1-8B,DB100K,pog,E0,100,0.57,0.7307692307692307,0.5453742531940471
Llama-3.1-8B,DB100K,pog,E1,100,0.09,0.1875,0.26513694397390053
Llama-3.1-8B,DB100K,pog,E2,100,0.17,0.3269230769230769,0.2990809205850347
Llama-3.1-8B,DB100K,pog,E3,100,0.17,0.3148148148148148,0.2932150645456493
Llama-3.1-8B,DB100K,pog,E4,100,0.09,0.1836734693877551,0.2660332988267771
Llama-3.1-8B,DB100K,pog,E5,100,0.58,0.7435897435897436,0.5421739842808847
Llama-3.1-8B,DB100K,pog,E6,100,0.91,0.9191919191919192,0.7084952515368336
Llama-3.1-8B,DB100K,pog,E7,100,0.15,0.2830188679245283,0.2991202499399651
Llama-3.1-8B,DB100K,structgpt,E0,100,0.59,0.8309859154929577,0.5811759906759905
Llama-3.1-8B,DB100K,structgpt,E1,100,0.11,0.22916666666666666,0.3054383659818443
Llama-3.1-8B,DB100K,structgpt,E2,100,0.18,0.34615384615384615,0.34006991610540005
Llama-3.1-8B,DB100K,structgpt,E3,100,0.17,0.3333333333333333,0.3181522670877511
Llama-3.1-8B,DB100K,structgpt,E4,100,0.11,0.23404255319148937,0.28955694305694313
Llama-3.1-8B,DB100K,structgpt,E5,100,0.59,0.8194444444444444,0.5756646958354736
Llama-3.1-8B,DB100K,structgpt,E6,100,0.91,0.9381443298969072,0.6867300888788302
Llama-3.1-8B,DB100K,structgpt,E7,100,0.18,0.33962264150943394,0.32887601435497665
Llama-3.1-8B,YAGO3-10,onehop,E0,100,0.57,0.9193548387096774,0.42326702553511986
Llama-3.1-8B,YAGO3-10,onehop,E1,100,0.17,0.4358974358974359,0.21701357636990629
Llama-3.1-8B,YAGO3-10,onehop,E2,100,0.16,0.41025641025641024,0.21593132528765518
Llama-3.1-8B,YAGO3-10,onehop,E3,100,0.22,0.5,0.2355926639489939
Llama-3.1-8B,YAGO3-10,onehop,E4,100,0.08,0.32,0.14686185419595688
Llama-3.1-8B,YAGO3-10,onehop,E5,100,0.57,0.9193548387096774,0.43060035886845327
Llama-3.1-8B,YAGO3-10,onehop,E6,100,0.91,0.978494623655914,0.6039512430450161
Llama-3.1-8B,YAGO3-10,onehop,E7,100,0.16,0.41025641025641024,0.21683608719241707
Llama-3.1-8B,YAGO3-10,tog,E0,100,0.5,0.78125,0.42516379885287436
Llama-3.1-8B,YAGO3-10,tog,E1,100,0.13,0.3023255813953488,0.2511479258370016
Llama-3.1-8B,YAGO3-10,tog,E2,100,0.13,0.29545454545454547,0.25443364012271585
Llama-3.1-8B,YAGO3-10,tog,E3,100,0.16,0.35555555555555557,0.2511947094627326
Llama-3.1-8B,YAGO3-10,tog,E4,100,0.11,0.275,0.23616582408191292
Llama-3.1-8B,YAGO3-10,tog,E5,100,0.5,0.7692307692307693,0.4246399893290648
Llama-3.1-8B,YAGO3-10,tog,E6,100,0.88,0.9166666666666666,0.6406575974519356
Llama-3.1-8B,YAGO3-10,tog,E7,100,0.12,0.27906976744186046,0.24590983059890634
Llama-3.1-8B,YAGO3-10,pog,E0,100,0.42,0.7924528301886793,0.34719738952491574
Llama-3.1-8B,YAGO3-10,pog,E1,100,0.06,0.17142857142857143,0.20770749053501672
Llama-3.1-8B,YAGO3-10,pog,E2,100,0.07,0.19444444444444445,0.20532653815406435
Llama-3.1-8B,YAGO3-10,pog,E3,100,0.12,0.27906976744186046,0.24315987148739773
Llama-3.1-8B,YAGO3-10,pog,E4,100,0.03,0.08823529411764706,0.18299086129959047
Llama-3.1-8B,YAGO3-10,pog,E5,100,0.42,0.7924528301886793,0.34186405619158244
Llama-3.1-8B,YAGO3-10,pog,E6,100,0.88,0.9361702127659575,0.6162215544338259
Llama-3.1-8B,YAGO3-10,pog,E7,100,0.05,0.14705882352941177,0.19199320482073098
Llama-3.1-8B,YAGO3-10,structgpt,E0,100,0.44,0.7457627118644068,0.39673220214829086
Llama-3.1-8B,YAGO3-10,structgpt,E1,100,0.06,0.14634146341463414,0.22757635799244677
Llama-3.1-8B,YAGO3-10,structgpt,E2,100,0.08,0.18604651162790697,0.253814453230542
Llama-3.1-8B,YAGO3-10,structgpt,E3,100,0.11,0.24444444444444444,0.2766477865638754
Llama-3.1-8B,YAGO3-10,structgpt,E4,100,0.07,0.17073170731707318,0.23474302465911343
Llama-3.1-8B,YAGO3-10,structgpt,E5,100,0.41,0.7321428571428571,0.35739886881495764
Llama-3.1-8B,YAGO3-10,structgpt,E6,100,0.8,0.8791208791208791,0.6016521614693973
Llama-3.1-8B,YAGO3-10,structgpt,E7,100,0.05,0.125,0.2225763579924468
